Order,Planning plant,Material Number,Material description,Batch,MRP controller,Order Type,Order quantity (GMEIN),Unit of measure (=GMEIN),Basic start date,Basic finish date,Production Version
1030490,RB11,RKBB610CT-PB000120,PROMINATE BMST-610CT,CH9074,F01,PP01,"4,000.000",KG,8/1/2019,8/2/2019,0001
1030491,RB11,RKBB610CT-PB000120,PROMINATE BMST-610CT,CH9075,F01,PP01,"4,000.000",KG,8/2/2019,8/3/2019,0001
1030492,RB11,ENJBWT028-DR000200,OLESTER BWT-028,CH9017,F01,PP01,"6,300.000",KG,8/3/2019,8/5/2019,0001
1030493,RB11,ENJQC418H-DR000200,OLESTER QC418HT,CH9015,F01,PP01,"6,920.800",KG,8/4/2019,8/6/2019,0002
1030494,RB11,ENRM63T00-DR000200,U-VAN M63T,CH9003,F01,PP01,"2,761.000",KG,8/6/2019,8/8/2019,
1030495,RB11,ENJQ171X0-DR000200,OLESTER Q171X,CH9003,F01,PP01,"3,136.800",KG,8/3/2019,8/5/2019,0001
1030496,RB11,ENJQC418H-DR000200,OLESTER QC418HT,CH9016,F01,PP01,"6,920.800",KG,8/5/2019,8/7/2019,0002
1030497,RB11,ENJQM743B-DR000200,OLESTER QM743BT,CH9005,F01,PP01,"3,048.000",KG,8/5/2019,8/7/2019,0002
1030500,RB11,RKPR14100-DR000160,POLYMAL R141,CG9022,F01,PP01,145.000,KG,7/31/2019,7/31/2019,0001
1030501,RB11,ENFC20100-DR000200,ALMATEX C201,CH9003,F01,PP01,"4,913.000",KG,8/5/2019,8/7/2019,0001
1030504,RB11,RKBB610CT-PB000120,PROMINATE BMST-610CT,CH9076,F01,PP01,"4,000.000",KG,8/6/2019,8/7/2019,0001
1030505,RB11,ENJQ17090-DR000200,OLESTER Q1709,CH9004,F01,PP01,"5,517.000",KG,8/7/2019,8/9/2019,0001
1030508,RB11,RKOSN500B-CN000250,SN-500B,790801,F01,PP01,"1,399.390",KG,8/1/2019,8/3/2019,0001
1030509,RB11,RKOSN500B-CN000250,SN-500B,790802,F01,PP01,"1,399.390",KG,8/1/2019,8/3/2019,0001
1030510,RB11,RKOSN500B-CN000250,SN-500B,790803W,F01,PP01,"1,399.390",KG,8/2/2019,8/4/2019,0002
